file,slug,title,word_count,headings_count,typo_flags
content/blog/2026-04-19-meta-agenti-ai-automatizare-infrastructura.md,2026-04-19-meta-agenti-ai-automatizare-infrastructura,,897,5,"scri, strategi"
content/blog/afaceri-mici-si-site-web.md,afaceri-mici-si-site-web,De ce afacerile mici au nevoie de un site web clar și simplu pentru a crește,362,0,
content/blog/ai-seo-marketing-2026-1777803585.md,ai-seo-marketing-2026-1777803585,Revoluționarea Marketingului cu AI SEO în 2026,474,0,strategi
content/blog/ai-seo-pentru-afaceri-locale-2026.md,ai-seo-pentru-afaceri-locale-2026,Revolutionează-ți Afacerea Locală cu AI SEO în 2026,284,5,strategi
content/blog/ai-si-timpul-pierdut-cu-taskuri-repetitive.md,ai-si-timpul-pierdut-cu-taskuri-repetitive,Cum poate AI-ul să vă salveze timpul: Reducerea taskurilor repetitive,325,0,
content/blog/automatizare-ai-afaceri-locale.md,automatizare-ai-afaceri-locale,Revolutionează Afacerile Locale: Cum Îți Poate Ajuta Automatizarea AI Să Atragi Mai Multe Cereri,219,0,
content/blog/automatizare-startfirma.md,automatizare-startfirma,,260,5,
content/blog/cum-sa-atragi-clienti-din-gogle-pentru-o-afacere-locala.md,cum-sa-atragi-clienti-din-gogle-pentru-o-afacere-locala,Cum să atragi clienți din Google pentru o afacere locală,541,7,"gogle, scri, strategi, locaala, clients"
content/blog/cum-sa-crezi-o-experienta-de-cumparare-omnichanel-pentru-clienti-tai.md,cum-sa-crezi-o-experienta-de-cumparare-omnichanel-pentru-clienti-tai,Cum să creezi o experiență de cumpărare omnichannel pentru clienții tăi,509,8,"gogle, crezi, omnichanel, scri, strategi, clients"
content/blog/cum-sa-crezi-un-program-de-fidelitate-pentru-clienti-tai-online-si-ofline.md,cum-sa-crezi-un-program-de-fidelitate-pentru-clienti-tai-online-si-ofline,Cum să creezi un program de fidelitate pentru clienții tăi online și offline,456,8,"crezi, ofline, strategi"
content/blog/cum-sa-folosesti-influenceri-locali-pentru-a-promova-afacerile-tale.md,cum-sa-folosesti-influenceri-locali-pentru-a-promova-afacerile-tale,Cum să folosești influencerii locali pentru a promova afacerile tale,393,7,"crezi, omnichanel, scri, strategi"
content/blog/cum-sa-folosesti-retelele-sociale-pentru-a-promova-afacerile-locale-si-a-atrage-clienti-noi.md,cum-sa-folosesti-retelele-sociale-pentru-a-promova-afacerile-locale-si-a-atrage-clienti-noi,Cum să folosești rețelele sociale pentru a promova afacerile locale și a atrage clienți noi,438,7,"gogle, scri, strategi, locaala, clients"
content/blog/cum-sa-imbunatatesti-strategia-ta-de-marketing-cu-ajutorul-datelor.md,cum-sa-imbunatatesti-strategia-ta-de-marketing-cu-ajutorul-datelor,Cum să îmbunătățești strategia ta de marketing cu ajutorul datelor,525,8,"gogle, scri, strategi, locaala, clients"
content/blog/cum-sa-utilizezi-platformele-de-publicitate-online-pentru-a-ti-creste-vanzarile-in-randul-clientilor-locali.md,cum-sa-utilizezi-platformele-de-publicitate-online-pentru-a-ti-creste-vanzarile-in-randul-clientilor-locali,Cum să utilizezi platformele de publicitate online pentru a-ți crește vânzările în rândul clienților locali,543,9,"crezi, ofline, strategi"
content/blog/de-ce-afacerile-mici-au-nevoie-de-un-site.md,de-ce-afacerile-mici-au-nevoie-de-un-site,Site-ul tau - Cheia Succesului pentru Afacerile Mici,168,0,
content/blog/de-ce-un-site-simplu-aduce-mai-multi-clienti.md,de-ce-un-site-simplu-aduce-mai-multi-clienti,De ce un site simplu aduce mai mulți clienți pentru o afacere mică,423,1,
content/blog/efectul-recenzilor-online-asupra-afacerilor-locale-cum-sa-incurajezi-clienti-sa-lase-recenzi-pozitive.md,efectul-recenzilor-online-asupra-afacerilor-locale-cum-sa-incurajezi-clienti-sa-lase-recenzi-pozitive,Efectul recenziilor online asupra afacerilor locale: Cum să încurajezi clienții să lase recenzii pozitive,466,7,"gogle, crezi, omnichanel, scri, strategi"
content/blog/geo-chatgpt-perplexity.md,geo-chatgpt-perplexity,,261,6,scri
content/blog/greseli-site-afaceri-mici.md,greseli-site-afaceri-mici,Greșeli frecvente pe site-urile afacerilor mici și cum le poți evita,316,0,"scri, strategi"
content/blog/importanta-certificatelor-de-siguranta-pentru-site-urile-web-ale-afacerilor-locale.md,importanta-certificatelor-de-siguranta-pentru-site-urile-web-ale-afacerilor-locale,Importanța certificatelor de siguranță pentru site-urile web ale afacerilor locale,410,9,"crezi, omnichanel, strategi"
content/blog/metode-de-promovare-a-afacerilor-locale-prin-intermediul-evenimentelor-comunitare.md,metode-de-promovare-a-afacerilor-locale-prin-intermediul-evenimentelor-comunitare,Metode de promovare a afacerilor locale prin intermediul evenimentelor comunitare,579,9,"crezi, ofline, strategi"
content/blog/optimizarea-continutului-pentru-afaceri-locale-cum-sa-scri-titluri-si-descrieri-meta-eficiente.md,optimizarea-continutului-pentru-afaceri-locale-cum-sa-scri-titluri-si-descrieri-meta-eficiente,Optimizarea conținutului pentru afaceri locale: Cum să scrii titluri și descrieri meta eficiente,572,8,"gogle, scri, strategi, locaala, clients"
content/blog/p1.md,p1,,360,4,
content/blog/p2.md,p2,,397,4,scri
content/blog/pagina-principala-afaceri-mici.md,pagina-principala-afaceri-mici,Importanța unei pagini principale clare pentru afacerile mici,366,6,"scri, strategi"
content/blog/seo-ai-hijacking.md,seo-ai-hijacking,,282,2,"scri, strategi"
content/blog/sistemul-de-autoritate.md,sistemul-de-autoritate,,213,2,scri
content/blog/site-simplu-vinde-mai-bine.md,site-simplu-vinde-mai-bine,De ce un site simplu poate vinde mai bine decât unul complicat,183,0,
content/blog/strategi-de-marketing-pentru-afaceri-locale-in-orase-mici.md,strategi-de-marketing-pentru-afaceri-locale-in-orase-mici,Strategii de marketing pentru afaceri locale în orașe mici,506,9,"crezi, omnichanel, strategi"
content/blog/structura-site-afacere-locaala.md,structura-site-afacere-locaala,Cum alegi structura corectă pentru site-ul unei afaceri locale,594,8,locaala
content/blog/structura-site-afacere-mica.md,structura-site-afacere-mica,Cum alegi structura corectă pentru site-ul unei afaceri mici,288,0,strategi
content/blog/tendinte-in-designul-site-urilor-web-pentru-afaceri-locale-in-2026.md,tendinte-in-designul-site-urilor-web-pentru-afaceri-locale-in-2026,Tendințe în designul site-urilor web pentru afaceri locale în 2026,509,8,"crezi, omnichanel, strategi"
content/blog/test-autopilot-fara-raport-modificat.md,test-autopilot-fara-raport-modificat,Test Autopilot fără Report Modificat: Cum să Evitați Problemele,239,0,
content/blog/test-final-autopilot-fix.md,test-final-autopilot-fix,Test Final Autopilot Fix: Cum Să Rezolvi Problemele Tehnice În Doar Câteva Minute,243,0,
content/blog/test-final-corect-git.md,test-final-corect-git,Test Final Corect Git: Cum să Îți Verifici Cunoștințele și să Devii Un Expert,265,0,
content/blog/transforma-vizitatori-in-clienti.md,transforma-vizitatori-in-clienti,Cum să transformi vizitatorii site-ului în clienți,370,7,strategi
content/blog/transforma-vizitatori-in-clients.md,transforma-vizitatori-in-clients,Cum să transformi vizitatorii site-ului în clienți,517,7,"strategi, locaala, clients"
