score,slug_a,slug_b,shared_terms
1.138,transforma-vizitatori-in-clienti,transforma-vizitatori-in-clients,"clienți, transforma, transformi, vizitatori, vizitatorii"
1.097,structura-site-afacere-locaala,structura-site-afacere-mica,"afacere, afaceri, alegi, corectă, pentru, structura"
0.858,cum-sa-folosesti-influenceri-locali-pentru-a-promova-afacerile-tale,cum-sa-folosesti-retelele-sociale-pentru-a-promova-afacerile-locale-si-a-atrage-clienti-noi,"afacerile, folosesti, folosești, pentru, promova"
0.743,cum-sa-crezi-o-experienta-de-cumparare-omnichanel-pentru-clienti-tai,cum-sa-crezi-un-program-de-fidelitate-pentru-clienti-tai-online-si-ofline,"clienti, clienții, creezi, crezi, pentru"
0.722,afaceri-mici-si-site-web,de-ce-afacerile-mici-au-nevoie-de-un-site,"afacerile, nevoie, pentru"
0.644,importanta-certificatelor-de-siguranta-pentru-site-urile-web-ale-afacerilor-locale,tendinte-in-designul-site-urilor-web-pentru-afaceri-locale-in-2026,"locale, pentru"
0.644,strategi-de-marketing-pentru-afaceri-locale-in-orase-mici,tendinte-in-designul-site-urilor-web-pentru-afaceri-locale-in-2026,"afaceri, locale, pentru"
0.626,cum-sa-atragi-clienti-din-gogle-pentru-o-afacere-locala,strategi-de-marketing-pentru-afaceri-locale-in-orase-mici,pentru
0.622,ai-seo-pentru-afaceri-locale-2026,tendinte-in-designul-site-urilor-web-pentru-afaceri-locale-in-2026,"afaceri, locale, pentru"
0.621,ai-seo-pentru-afaceri-locale-2026,automatizare-ai-afaceri-locale,"afaceri, locale, revolutionează"
0.619,test-autopilot-fara-raport-modificat,test-final-autopilot-fix,"autopilot, problemele"
0.612,cum-sa-atragi-clienti-din-gogle-pentru-o-afacere-locala,cum-sa-folosesti-retelele-sociale-pentru-a-promova-afacerile-locale-si-a-atrage-clienti-noi,"clienti, clienți, pentru"
0.61,ai-seo-marketing-2026-1777803585,ai-seo-pentru-afaceri-locale-2026,
0.61,de-ce-un-site-simplu-aduce-mai-multi-clienti,site-simplu-vinde-mai-bine,simplu
0.607,ai-seo-pentru-afaceri-locale-2026,strategi-de-marketing-pentru-afaceri-locale-in-orase-mici,"afaceri, locale, pentru"
0.603,cum-sa-atragi-clienti-din-gogle-pentru-o-afacere-locala,cum-sa-folosesti-influenceri-locali-pentru-a-promova-afacerile-tale,pentru
0.6,optimizarea-continutului-pentru-afaceri-locale-cum-sa-scri-titluri-si-descrieri-meta-eficiente,strategi-de-marketing-pentru-afaceri-locale-in-orase-mici,"afaceri, locale, pentru"
0.582,de-ce-afacerile-mici-au-nevoie-de-un-site,pagina-principala-afaceri-mici,"afacerile, pentru"
