slug,title,word_count,typo_flags,suspected_action,reason
2026-04-19-meta-agenti-ai-automatizare-infrastructura,,897,"scri, strategi",REWRITE,typo slug/content
afaceri-mici-si-site-web,De ce afacerile mici au nevoie de un site web clar și simplu pentru a crește,362,,REVIEW,needs semantic review
ai-seo-marketing-2026-1777803585,Revoluționarea Marketingului cu AI SEO în 2026,474,strategi,REWRITE,typo slug/content
ai-seo-pentru-afaceri-locale-2026,Revolutionează-ți Afacerea Locală cu AI SEO în 2026,284,strategi,REWRITE,typo slug/content
ai-si-timpul-pierdut-cu-taskuri-repetitive,Cum poate AI-ul să vă salveze timpul: Reducerea taskurilor repetitive,325,,REWRITE,weak content under 350 words
automatizare-ai-afaceri-locale,Revolutionează Afacerile Locale: Cum Îți Poate Ajuta Automatizarea AI Să Atragi Mai Multe Cereri,219,,MERGE,thin content under 250 words
automatizare-startfirma,,260,,REWRITE,weak content under 350 words
cum-sa-atragi-clienti-din-gogle-pentru-o-afacere-locala,Cum să atragi clienți din Google pentru o afacere locală,541,"gogle, scri, strategi, locaala, clients",REWRITE,typo slug/content
cum-sa-crezi-o-experienta-de-cumparare-omnichanel-pentru-clienti-tai,Cum să creezi o experiență de cumpărare omnichannel pentru clienții tăi,509,"gogle, crezi, omnichanel, scri, strategi, clients",REWRITE,typo slug/content
cum-sa-crezi-un-program-de-fidelitate-pentru-clienti-tai-online-si-ofline,Cum să creezi un program de fidelitate pentru clienții tăi online și offline,456,"crezi, ofline, strategi",REWRITE,typo slug/content
cum-sa-folosesti-influenceri-locali-pentru-a-promova-afacerile-tale,Cum să folosești influencerii locali pentru a promova afacerile tale,393,"crezi, omnichanel, scri, strategi",REWRITE,typo slug/content
cum-sa-folosesti-retelele-sociale-pentru-a-promova-afacerile-locale-si-a-atrage-clienti-noi,Cum să folosești rețelele sociale pentru a promova afacerile locale și a atrage clienți noi,438,"gogle, scri, strategi, locaala, clients",REWRITE,typo slug/content
cum-sa-imbunatatesti-strategia-ta-de-marketing-cu-ajutorul-datelor,Cum să îmbunătățești strategia ta de marketing cu ajutorul datelor,525,"gogle, scri, strategi, locaala, clients",REWRITE,typo slug/content
cum-sa-utilizezi-platformele-de-publicitate-online-pentru-a-ti-creste-vanzarile-in-randul-clientilor-locali,Cum să utilizezi platformele de publicitate online pentru a-ți crește vânzările în rândul clienților locali,543,"crezi, ofline, strategi",REWRITE,typo slug/content
de-ce-afacerile-mici-au-nevoie-de-un-site,Site-ul tau - Cheia Succesului pentru Afacerile Mici,168,,MERGE,thin content under 250 words
de-ce-un-site-simplu-aduce-mai-multi-clienti,De ce un site simplu aduce mai mulți clienți pentru o afacere mică,423,,REVIEW,needs semantic review
efectul-recenzilor-online-asupra-afacerilor-locale-cum-sa-incurajezi-clienti-sa-lase-recenzi-pozitive,Efectul recenziilor online asupra afacerilor locale: Cum să încurajezi clienții să lase recenzii pozitive,466,"gogle, crezi, omnichanel, scri, strategi",REWRITE,typo slug/content
geo-chatgpt-perplexity,,261,scri,REWRITE,typo slug/content
greseli-site-afaceri-mici,Greșeli frecvente pe site-urile afacerilor mici și cum le poți evita,316,"scri, strategi",REWRITE,typo slug/content
importanta-certificatelor-de-siguranta-pentru-site-urile-web-ale-afacerilor-locale,Importanța certificatelor de siguranță pentru site-urile web ale afacerilor locale,410,"crezi, omnichanel, strategi",REWRITE,typo slug/content
metode-de-promovare-a-afacerilor-locale-prin-intermediul-evenimentelor-comunitare,Metode de promovare a afacerilor locale prin intermediul evenimentelor comunitare,579,"crezi, ofline, strategi",REWRITE,typo slug/content
optimizarea-continutului-pentru-afaceri-locale-cum-sa-scri-titluri-si-descrieri-meta-eficiente,Optimizarea conținutului pentru afaceri locale: Cum să scrii titluri și descrieri meta eficiente,572,"gogle, scri, strategi, locaala, clients",REWRITE,typo slug/content
p1,,360,,DELETE,test/placeholder content
p2,,397,scri,DELETE,test/placeholder content
pagina-principala-afaceri-mici,Importanța unei pagini principale clare pentru afacerile mici,366,"scri, strategi",REWRITE,typo slug/content
seo-ai-hijacking,,282,"scri, strategi",REWRITE,typo slug/content
sistemul-de-autoritate,,213,scri,REWRITE,typo slug/content + thin content under 250 words
site-simplu-vinde-mai-bine,De ce un site simplu poate vinde mai bine decât unul complicat,183,,MERGE,thin content under 250 words
strategi-de-marketing-pentru-afaceri-locale-in-orase-mici,Strategii de marketing pentru afaceri locale în orașe mici,506,"crezi, omnichanel, strategi",REWRITE,typo slug/content
structura-site-afacere-locaala,Cum alegi structura corectă pentru site-ul unei afaceri locale,594,locaala,REWRITE,typo slug/content
structura-site-afacere-mica,Cum alegi structura corectă pentru site-ul unei afaceri mici,288,strategi,REWRITE,typo slug/content
tendinte-in-designul-site-urilor-web-pentru-afaceri-locale-in-2026,Tendințe în designul site-urilor web pentru afaceri locale în 2026,509,"crezi, omnichanel, strategi",REWRITE,typo slug/content
test-autopilot-fara-raport-modificat,Test Autopilot fără Report Modificat: Cum să Evitați Problemele,239,,DELETE,test/placeholder content
test-final-autopilot-fix,Test Final Autopilot Fix: Cum Să Rezolvi Problemele Tehnice În Doar Câteva Minute,243,,DELETE,test/placeholder content
test-final-corect-git,Test Final Corect Git: Cum să Îți Verifici Cunoștințele și să Devii Un Expert,265,,DELETE,test/placeholder content
transforma-vizitatori-in-clienti,Cum să transformi vizitatorii site-ului în clienți,370,strategi,REWRITE,typo slug/content
transforma-vizitatori-in-clients,Cum să transformi vizitatorii site-ului în clienți,517,"strategi, locaala, clients",REWRITE,typo slug/content
